sample_id,grid_id,city,city_code,timestamp_hour,airspace_class,population_density_index,flight_density_index,sensor_coverage_score,communication_quality_score,wind_speed_mps,rainfall_mm_h,visibility_km,historical_alert_count_24h,computed_risk_score,risk_event_label,data_nature,source_basis
MF0003667,330100_G0024,杭州,330100,2026-06-03 07:00:00,禁飞区,454.16,6.55,0.709,0.748,10.78,0.28,2.17,2,92.28,1,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0003668,420100_G0255,武汉,420100,2026-06-04 00:00:00,适飞空域,953.58,13.96,0.64,0.558,2.38,0.6,9.79,0,0.76,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0003669,440400_G0396,珠海,440400,2026-06-02 04:00:00,机场净空保护区,523.09,11.25,0.933,0.362,0.81,0.05,8.45,2,61.52,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0003670,430100_G0286,长沙,430100,2026-06-03 15:00:00,机场净空保护区,1265.44,35.36,0.829,0.929,6.06,0.23,3.45,0,65.31,1,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0003671,430100_G0374,长沙,430100,2026-06-05 10:00:00,文旅体验区,4486.21,25.69,0.953,0.598,7.84,0.29,11.67,2,31.48,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0003672,320600_G0045,南通,320600,2026-06-03 00:00:00,文旅体验区,1144.69,11.75,0.899,0.552,5.76,0.27,6.1,3,37.92,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0003673,330100_G0099,杭州,330100,2026-06-04 14:00:00,禁飞区,685.29,3.07,0.535,0.818,4.3,0.25,10.77,2,75.9,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0003674,340100_G0349,合肥,340100,2026-06-05 13:00:00,敏感目标保护区,2232.9,2.22,0.627,0.822,4.78,0.13,2.38,4,75.16,1,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0003675,500000_G0130,重庆,500000,2026-06-03 12:00:00,机场净空保护区,2600.24,9.45,0.846,0.76,3.1,1.03,10.25,1,69.62,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0003676,441900_G0401,东莞,441900,2026-06-04 07:00:00,管制空域,683.83,11.21,0.739,0.87,4.46,0.21,10.55,3,37.73,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0003677,310000_G0123,上海,310000,2026-06-03 18:00:00,管制空域,2683.72,0.0,0.883,0.582,9.31,0.23,13.94,2,49.27,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0003678,440100_G0147,广州,440100,2026-06-03 10:00:00,适飞空域,1054.54,10.79,0.662,0.614,3.64,0.38,7.89,0,8.08,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0003679,330100_G0071,杭州,330100,2026-06-05 23:00:00,适飞空域,4321.78,9.16,0.644,0.822,6.76,0.62,13.07,0,22.91,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0003680,110000_G0436,北京,110000,2026-06-01 12:00:00,低空物流走廊,2541.56,57.96,0.748,0.798,1.39,0.35,4.01,1,29.89,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0003681,320500_G0456,苏州,320500,2026-06-05 21:00:00,机场净空保护区,4655.06,7.55,0.364,0.734,5.03,0.07,3.24,3,65.24,1,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0003682,320100_G0288,南京,320100,2026-06-05 10:00:00,适飞空域,4208.56,14.63,0.698,0.764,4.16,1.44,8.93,1,12.06,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0003683,510100_G0454,成都,510100,2026-06-02 18:00:00,管制空域,826.96,6.03,0.707,0.637,3.89,0.36,16.57,2,63.26,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0003684,370200_G0127,青岛,370200,2026-06-01 05:00:00,敏感目标保护区,1078.44,12.94,0.815,0.908,3.62,0.04,7.36,1,75.32,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0003685,340100_G0120,合肥,340100,2026-06-07 11:00:00,禁飞区,373.51,2.55,0.965,0.854,4.03,1.75,5.02,2,89.79,1,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0003686,370200_G0296,青岛,370200,2026-06-07 00:00:00,管制空域,1632.91,0.82,0.59,0.88,2.13,0.1,7.23,6,72.33,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0003687,510100_G0030,成都,510100,2026-06-02 04:00:00,机场净空保护区,460.57,0.57,0.728,0.279,2.92,0.71,7.58,3,74.88,1,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0003688,610100_G0049,西安,610100,2026-06-06 04:00:00,管制空域,2392.78,10.19,0.62,0.259,4.29,0.53,9.52,1,47.18,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0003689,430100_G0061,长沙,430100,2026-06-04 10:00:00,适飞空域,1886.89,3.04,0.663,0.853,4.28,0.94,7.11,0,17.5,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0003690,320100_G0013,南京,320100,2026-06-07 04:00:00,管制空域,1200.22,22.83,0.84,0.714,5.05,0.35,6.93,2,50.22,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0003691,310000_G0212,上海,310000,2026-06-01 05:00:00,机场净空保护区,1977.04,10.57,0.701,0.793,2.07,0.6,8.51,2,59.76,1,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0003692,420100_G0364,武汉,420100,2026-06-05 21:00:00,适飞空域,591.47,15.8,0.765,0.842,6.83,0.06,15.0,1,13.8,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0003693,510100_G0426,成都,510100,2026-06-04 13:00:00,适飞空域,299.43,11.55,0.875,0.711,4.82,0.29,10.21,0,11.66,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0003694,330100_G0320,杭州,330100,2026-06-02 12:00:00,管制空域,3409.89,36.52,0.632,0.788,3.77,0.02,6.55,1,53.09,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0003695,430100_G0085,长沙,430100,2026-06-03 05:00:00,机场净空保护区,1502.82,19.44,0.885,0.844,4.43,0.1,6.33,1,75.06,1,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0003696,310000_G0494,上海,310000,2026-06-04 14:00:00,机场净空保护区,1099.51,27.47,0.293,0.906,0.04,2.24,8.63,1,56.35,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0003697,110000_G0148,北京,110000,2026-06-07 09:00:00,禁飞区,2032.12,5.31,0.634,0.856,4.57,0.33,8.64,1,90.5,1,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0003698,110000_G0440,北京,110000,2026-06-01 01:00:00,适飞空域,1676.36,13.94,0.604,0.97,1.23,0.01,12.11,1,12.6,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0003699,310000_G0492,上海,310000,2026-06-06 07:00:00,低空物流走廊,656.26,18.37,0.888,0.559,2.91,0.16,11.5,0,14.88,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0003700,440300_G0389,深圳,440300,2026-06-04 10:00:00,管制空域,636.61,11.51,0.825,0.875,1.08,0.04,11.6,5,65.21,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0003701,350200_G0142,厦门,350200,2026-06-04 12:00:00,管制空域,1531.04,17.82,0.783,0.948,6.36,0.17,8.08,3,49.45,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0003702,350200_G0002,厦门,350200,2026-06-01 06:00:00,机场净空保护区,2688.02,39.33,0.488,0.495,4.83,0.6,5.02,3,69.08,1,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0003703,370200_G0166,青岛,370200,2026-06-07 19:00:00,适飞空域,836.03,21.65,0.521,0.668,4.11,0.35,11.33,1,11.88,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0003704,441900_G0431,东莞,441900,2026-06-02 03:00:00,机场净空保护区,2396.19,13.88,0.648,0.607,4.56,0.94,6.79,5,69.34,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0003705,440300_G0050,深圳,440300,2026-06-02 05:00:00,文旅体验区,1741.48,10.32,0.555,0.803,5.65,0.56,6.76,3,49.79,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0003706,350200_G0169,厦门,350200,2026-06-04 01:00:00,管制空域,1354.86,10.34,0.973,0.655,3.88,0.08,3.75,0,64.06,1,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0003707,340100_G0026,合肥,340100,2026-06-01 20:00:00,禁飞区,968.76,20.95,0.542,0.574,3.43,2.03,16.29,4,82.42,1,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0003708,110000_G0083,北京,110000,2026-06-02 13:00:00,适飞空域,1142.77,30.19,0.387,0.501,2.9,0.45,4.74,0,14.08,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0003709,510100_G0469,成都,510100,2026-06-02 01:00:00,文旅体验区,2550.17,10.53,0.864,0.733,5.41,0.84,4.98,1,30.13,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0003710,410100_G0024,郑州,410100,2026-06-07 22:00:00,管制空域,558.91,24.84,0.73,0.797,5.68,0.06,12.69,4,47.02,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0003711,320100_G0194,南京,320100,2026-06-06 14:00:00,适飞空域,3781.65,4.72,0.566,0.572,2.84,0.14,10.3,1,24.4,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0003712,500000_G0356,重庆,500000,2026-06-07 10:00:00,适飞空域,6062.88,13.89,0.85,0.658,6.64,0.77,4.32,0,21.14,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0003713,460100_G0198,海口,460100,2026-06-05 19:00:00,管制空域,560.18,24.02,0.619,0.763,1.7,0.8,7.16,1,48.64,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0003714,500000_G0336,重庆,500000,2026-06-04 22:00:00,低空物流走廊,187.56,23.36,0.894,0.689,5.9,0.88,9.1,1,24.14,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0003715,430100_G0243,长沙,430100,2026-06-07 12:00:00,文旅体验区,1376.44,30.7,0.491,0.909,1.37,0.22,9.5,1,41.63,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0003716,420100_G0088,武汉,420100,2026-06-01 01:00:00,适飞空域,1315.64,9.97,0.47,0.907,3.19,0.4,8.6,1,22.73,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0003717,110000_G0035,北京,110000,2026-06-04 15:00:00,适飞空域,908.36,0.14,0.487,0.64,3.58,0.76,5.62,1,22.39,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0003718,500000_G0425,重庆,500000,2026-06-06 22:00:00,适飞空域,1124.84,0.87,0.82,0.77,4.16,0.01,6.87,1,18.66,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0003719,420100_G0174,武汉,420100,2026-06-02 09:00:00,管制空域,1500.6,24.23,0.614,0.875,4.43,0.64,8.18,1,62.13,1,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0003720,350200_G0374,厦门,350200,2026-06-04 09:00:00,机场净空保护区,2898.1,14.06,0.689,0.803,0.0,0.26,6.73,5,80.58,1,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0003721,370200_G0058,青岛,370200,2026-06-07 20:00:00,管制空域,4145.2,10.13,0.713,0.584,4.0,0.45,1.64,0,53.21,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0003722,440400_G0373,珠海,440400,2026-06-07 18:00:00,管制空域,4131.71,7.58,0.764,0.913,8.67,0.49,11.78,2,53.59,1,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0003723,440400_G0216,珠海,440400,2026-06-01 11:00:00,适飞空域,742.23,9.16,0.881,0.968,6.88,0.98,12.26,0,10.56,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0003724,410100_G0297,郑州,410100,2026-06-05 11:00:00,管制空域,2106.51,29.55,0.873,0.829,4.92,0.46,3.05,0,46.8,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0003725,320500_G0359,苏州,320500,2026-06-03 00:00:00,敏感目标保护区,1834.79,23.93,0.808,0.427,8.34,0.05,5.59,3,76.73,1,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0003726,420100_G0326,武汉,420100,2026-06-04 11:00:00,适飞空域,4498.26,0.01,0.953,0.777,5.11,0.29,10.17,0,20.67,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0003727,320600_G0446,南通,320600,2026-06-03 03:00:00,机场净空保护区,825.77,5.01,0.689,0.511,4.06,0.27,6.11,1,76.35,1,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0003728,440300_G0042,深圳,440300,2026-06-04 13:00:00,管制空域,3237.37,18.87,0.82,0.493,5.52,0.23,8.25,0,64.36,1,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0003729,320500_G0300,苏州,320500,2026-06-07 20:00:00,机场净空保护区,1399.66,12.55,0.501,0.777,7.72,2.82,12.63,7,80.13,1,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0003730,440300_G0311,深圳,440300,2026-06-03 06:00:00,适飞空域,3297.52,32.11,0.353,0.871,2.58,1.06,11.65,0,14.75,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0003731,410100_G0077,郑州,410100,2026-06-03 23:00:00,敏感目标保护区,1107.34,10.59,0.72,0.767,5.91,1.05,7.5,4,70.59,1,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0003732,330100_G0480,杭州,330100,2026-06-02 04:00:00,适飞空域,1482.81,13.25,0.766,0.792,4.71,0.09,4.3,0,17.55,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0003733,310000_G0006,上海,310000,2026-06-01 08:00:00,适飞空域,1558.95,16.28,0.471,0.762,4.06,0.35,11.97,2,13.26,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0003734,440100_G0317,广州,440100,2026-06-03 10:00:00,机场净空保护区,2177.81,5.75,0.806,0.566,1.86,0.04,7.49,1,73.33,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0003735,320500_G0238,苏州,320500,2026-06-07 22:00:00,适飞空域,807.49,5.68,0.879,0.686,0.0,0.46,10.63,0,16.57,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0003736,310000_G0101,上海,310000,2026-06-03 10:00:00,适飞空域,1134.27,14.46,0.932,0.752,5.08,0.31,4.09,1,10.66,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0003737,440300_G0189,深圳,440300,2026-06-06 02:00:00,敏感目标保护区,1947.48,11.44,0.759,0.899,4.6,0.46,1.1,2,72.19,1,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0003738,440100_G0371,广州,440100,2026-06-01 15:00:00,低空物流走廊,3865.41,24.06,0.71,0.841,5.6,2.64,7.02,2,48.96,1,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0003739,410100_G0185,郑州,410100,2026-06-02 09:00:00,适飞空域,3833.85,25.62,0.913,0.631,4.74,0.31,7.05,0,12.39,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0003740,610100_G0059,西安,610100,2026-06-06 15:00:00,敏感目标保护区,1563.03,13.9,0.641,0.906,9.63,0.23,8.9,2,70.75,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0003741,440100_G0491,广州,440100,2026-06-01 21:00:00,禁飞区,87.13,12.81,0.737,0.869,5.18,1.21,10.63,4,88.48,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0003742,320100_G0335,南京,320100,2026-06-05 05:00:00,适飞空域,2365.52,15.57,0.838,0.533,5.05,0.1,6.67,1,22.43,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0003743,330100_G0156,杭州,330100,2026-06-07 05:00:00,适飞空域,3353.61,0.0,0.693,0.857,4.23,0.04,10.49,0,6.31,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0003744,460100_G0116,海口,460100,2026-06-07 01:00:00,适飞空域,1836.0,19.25,0.465,0.878,6.14,0.12,6.76,1,26.9,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0003745,320600_G0370,南通,320600,2026-06-02 07:00:00,低空物流走廊,757.32,12.01,0.502,0.773,1.73,0.69,10.59,1,35.16,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0003746,440300_G0070,深圳,440300,2026-06-02 09:00:00,敏感目标保护区,609.08,18.45,0.697,0.896,0.0,0.02,4.91,2,84.06,1,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0003747,350200_G0379,厦门,350200,2026-06-02 20:00:00,适飞空域,2998.17,6.31,0.725,0.91,2.15,0.68,6.69,2,15.45,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0003748,440100_G0413,广州,440100,2026-06-01 16:00:00,适飞空域,3425.84,11.15,0.802,0.783,6.73,1.02,10.93,1,32.93,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0003749,510100_G0155,成都,510100,2026-06-02 14:00:00,敏感目标保护区,1023.69,13.04,0.818,0.83,1.61,0.33,6.13,3,67.96,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0003750,320600_G0197,南通,320600,2026-06-01 03:00:00,适飞空域,1060.69,7.37,0.502,0.775,8.15,0.32,4.13,1,28.57,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0003751,310000_G0182,上海,310000,2026-06-01 08:00:00,适飞空域,3287.0,3.38,0.645,0.71,2.37,0.01,9.27,1,27.33,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0003752,610100_G0104,西安,610100,2026-06-01 07:00:00,禁飞区,2533.6,3.68,0.804,0.544,4.7,0.33,8.56,4,100.0,1,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0003753,350200_G0157,厦门,350200,2026-06-06 20:00:00,适飞空域,1915.62,0.0,0.595,0.68,1.7,0.07,13.32,1,7.18,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0003754,440300_G0156,深圳,440300,2026-06-03 06:00:00,适飞空域,1921.58,13.97,0.447,0.724,7.47,0.09,11.64,0,9.87,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0003755,340100_G0001,合肥,340100,2026-06-05 16:00:00,适飞空域,435.82,37.11,0.919,0.758,3.52,0.15,9.72,1,21.28,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0003756,610100_G0426,西安,610100,2026-06-04 01:00:00,适飞空域,2948.16,22.23,0.703,0.768,5.68,0.26,14.03,0,20.42,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0003757,440300_G0205,深圳,440300,2026-06-03 16:00:00,文旅体验区,915.78,9.09,0.736,0.814,1.98,0.23,9.26,4,42.98,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0003758,310000_G0231,上海,310000,2026-06-06 07:00:00,适飞空域,2667.14,22.0,0.499,0.738,9.41,0.12,10.59,4,25.21,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0003759,410100_G0200,郑州,410100,2026-06-07 01:00:00,管制空域,1151.97,15.11,0.784,0.699,2.96,0.1,7.64,2,44.9,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0003760,500000_G0447,重庆,500000,2026-06-05 07:00:00,敏感目标保护区,451.87,13.94,0.563,0.969,3.39,0.37,7.06,4,86.61,1,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0003761,441900_G0031,东莞,441900,2026-06-05 01:00:00,禁飞区,524.28,10.78,0.683,0.638,5.31,1.3,5.35,2,82.31,1,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0003762,440300_G0318,深圳,440300,2026-06-04 09:00:00,适飞空域,2642.5,43.02,0.832,0.751,3.35,0.02,0.5,0,32.14,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0003763,320600_G0099,南通,320600,2026-06-05 04:00:00,适飞空域,1983.85,21.64,0.794,0.678,1.45,0.16,13.06,0,25.88,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0003764,310000_G0181,上海,310000,2026-06-07 16:00:00,适飞空域,1759.6,13.3,0.71,0.57,5.57,0.81,9.67,0,26.76,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0003765,320600_G0155,南通,320600,2026-06-01 16:00:00,管制空域,2632.48,13.59,0.885,0.802,0.0,1.13,5.94,2,62.44,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0003766,110000_G0112,北京,110000,2026-06-02 12:00:00,适飞空域,2176.54,23.99,0.912,0.908,4.55,0.24,4.58,2,15.11,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0003767,440300_G0140,深圳,440300,2026-06-07 21:00:00,敏感目标保护区,2002.67,4.31,0.706,0.926,2.32,0.02,8.1,0,77.18,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0003768,370200_G0388,青岛,370200,2026-06-03 10:00:00,敏感目标保护区,1522.39,0.0,0.847,0.744,4.85,1.77,8.84,4,79.65,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0003769,310000_G0116,上海,310000,2026-06-01 19:00:00,敏感目标保护区,213.31,12.22,0.892,0.588,2.31,1.22,5.23,1,81.95,1,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0003770,340100_G0488,合肥,340100,2026-06-01 23:00:00,机场净空保护区,2288.97,34.2,0.405,0.671,5.08,0.06,7.27,4,67.23,1,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0003771,430100_G0044,长沙,430100,2026-06-04 22:00:00,机场净空保护区,746.66,44.63,0.94,0.853,3.1,0.35,11.52,2,75.84,1,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0003772,320100_G0475,南京,320100,2026-06-04 07:00:00,文旅体验区,2209.85,36.57,0.749,0.694,0.45,0.57,4.6,1,31.89,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0003773,430100_G0459,长沙,430100,2026-06-04 18:00:00,禁飞区,1792.37,5.21,0.868,0.9,7.21,0.66,7.11,4,88.0,1,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0003774,320100_G0226,南京,320100,2026-06-02 10:00:00,适飞空域,2035.85,0.0,0.73,0.842,3.53,0.72,7.68,0,24.42,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0003775,110000_G0189,北京,110000,2026-06-07 22:00:00,适飞空域,4092.39,31.23,0.285,0.762,4.97,0.42,1.71,2,24.22,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0003776,500000_G0427,重庆,500000,2026-06-01 15:00:00,低空物流走廊,2292.02,10.58,0.573,0.448,3.47,0.27,9.38,0,31.07,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0003777,610100_G0447,西安,610100,2026-06-04 14:00:00,管制空域,633.31,18.01,0.763,0.599,1.43,1.53,10.98,1,43.64,1,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0003778,410100_G0103,郑州,410100,2026-06-07 08:00:00,机场净空保护区,1193.73,50.26,0.922,0.604,1.29,0.54,10.01,0,61.4,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0003779,340100_G0470,合肥,340100,2026-06-06 00:00:00,适飞空域,320.58,15.3,0.585,0.849,4.56,0.05,6.21,0,15.33,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0003780,610100_G0453,西安,610100,2026-06-01 19:00:00,管制空域,1855.0,13.85,0.642,0.931,5.45,1.0,11.94,0,67.08,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0003781,320600_G0144,南通,320600,2026-06-07 09:00:00,机场净空保护区,1046.72,8.57,0.658,0.599,6.26,0.07,7.69,2,72.15,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0003782,420100_G0084,武汉,420100,2026-06-02 11:00:00,适飞空域,1318.5,34.88,0.666,0.505,5.76,0.24,6.52,0,22.72,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0003783,441900_G0094,东莞,441900,2026-06-01 22:00:00,适飞空域,595.19,4.02,0.852,0.8,4.97,0.16,8.38,0,15.82,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0003784,510100_G0055,成都,510100,2026-06-02 05:00:00,禁飞区,2097.9,12.04,0.752,0.839,3.29,0.71,8.42,2,100.0,1,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0003785,500000_G0478,重庆,500000,2026-06-02 06:00:00,低空物流走廊,1273.48,9.12,0.704,0.819,2.37,0.38,13.27,0,35.69,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
MF0003786,330100_G0020,杭州,330100,2026-06-05 04:00:00,适飞空域,1305.7,12.5,0.639,0.841,4.47,0.82,12.84,0,19.31,0,simulated_model_training_sample,为风险预测/分类模型演示构造的特征表，非真实观测样本。
